OBJECTID_1,PROVINCE,CITY,COUNTY,AET,PM2.5,ppt,tem,wind,NOX,SO2,fertilzier,manure
1,四川省,阿坝藏族羌族自治州,阿坝县,0.0,7.689899,6.953819,1.395027,2.025933,5.462883493,1.225400459,49.688867,10053.88497
2,四川省,阿坝藏族羌族自治州,黑水县,0.570925,16.217949,9.217181,1.253744,2.348458,2.472609861,0.549127457,401.17221,1964.081289
3,四川省,阿坝藏族羌族自治州,红原县,0.0,11.115,8.17684,0.588961,2.132468,6.577136277,0.528046061,55.442307,12042.29104
4,四川省,阿坝藏族羌族自治州,金川县,1.031379,10.590196,4.380345,2.327931,2.221724,3.088084369,0.576475256,881.8466,3003.778374
5,四川省,阿坝藏族羌族自治州,九寨沟县,0.102034,18.673585,7.552542,-0.388475,2.284407,4.990686888,0.938791659,610.38848,1659.076001
6,四川省,阿坝藏族羌族自治州,理县,0.712554,22.778571,9.285714,-1.083983,2.492641,6.220165693,0.74903719,378.15841,1132.870514
7,四川省,阿坝藏族羌族自治州,马尔康市,0.382787,11.245455,6.001639,1.919945,2.162842,4.949417219,0.587595883,76.363937,4186.451008
8,四川省,阿坝藏族羌族自治州,茂县,2.265877,23.283784,9.682464,2.006635,2.053081,7.445520483,1.295492326,1467.12912,1969.832013
9,四川省,阿坝藏族羌族自治州,壤塘县,0.0,4.693548,5.06694,0.535246,2.386339,1.508524985,0.276107434,71.13353,4862.016443
10,四川省,阿坝藏族羌族自治州,若尔盖县,0.0,12.308,6.847931,0.586724,1.952931,11.15198994,3.892402602,42.36629,16654.03789
11,四川省,阿坝藏族羌族自治州,松潘县,0.204946,17.67284,9.970108,-0.444516,2.475484,5.658180126,0.667672251,520.425483,4707.100706
12,四川省,阿坝藏族羌族自治州,小金县,0.348525,20.662745,4.474426,0.111148,2.576066,2.987578931,0.611870326,486.950873,2583.085588
13,四川省,阿坝藏族羌族自治州,汶川县,4.3,26.862162,10.111638,1.947414,1.887069,13.53759407,2.555878193,1223.915206,1133.545484
14,新疆维吾尔自治区,阿克苏地区,阿克苏市,0.0,64.528289,0.625862,-2.384253,1.215402,7.940657902,2.306971856,35674.09934,19124.20247
15,新疆维吾尔自治区,阿克苏地区,阿瓦提县,0.0,69.340141,0.685587,-2.21148,1.365944,2.351306108,1.082478627,27404.21421,11910.20515
16,新疆维吾尔自治区,阿克苏地区,拜城县,0.0,38.056897,2.743474,-8.504518,1.156928,3.757725398,1.259937595,18469.26538,23645.01175
17,新疆维吾尔自治区,阿克苏地区,柯坪县,0.0,52.251579,1.52925,-2.463254,1.367276,1.050657926,0.496954224,1953.28229,3464.373908
18,新疆维吾尔自治区,阿克苏地区,库车县,0.0,46.932051,1.099341,-5.950823,0.933809,17.58944035,3.167578495,25668.95954,24161.28031
19,新疆维吾尔自治区,阿克苏地区,沙雅县,0.0,66.758382,0.449409,-2.839537,1.187918,1.248712975,0.590109619,30170.8531,10666.46353
20,新疆维吾尔自治区,阿克苏地区,温宿县,0.0,41.701299,2.83404,-7.786161,1.346652,4.996176856,1.801691788,22322.15887,17332.00581
21,新疆维吾尔自治区,阿克苏地区,乌什县,0.0,34.709375,2.821441,-4.553694,1.227387,4.622190273,1.615038842,17259.78029,15410.90418
22,新疆维吾尔自治区,阿克苏地区,新和县,0.0,52.242857,1.55,-2.96573,0.815169,5.199052955,1.9043786,20766.47214,7802.324545
23,内蒙古自治区,阿拉善盟,阿拉善右旗,0.0,27.943857,3.69777,-4.17492,2.81223,0.63024734,0.124849612,371.45188,2608.198355
24,内蒙古自治区,阿拉善盟,阿拉善左旗,0.0,26.762905,7.717338,-3.680897,2.794643,2.604654643,1.267452999,2287.260973,12851.26349
25,内蒙古自治区,阿拉善盟,额济纳旗,0.0,32.295474,0.459232,-6.363162,2.946152,0.586447782,0.080837632,1890.087233,1410.143219
26,新疆维吾尔自治区,阿勒泰地区,布尔津县,0.0,11.831746,9.72982,-17.412067,1.791678,3.884973047,0.611925988,1350.35473,8478.120072
27,新疆维吾尔自治区,阿勒泰地区,富蕴县,0.0,13.787131,8.239174,-16.135,0.561376,1.479391201,0.200006253,3348.886363,12635.01048
28,新疆维吾尔自治区,阿勒泰地区,哈巴河县,0.0,11.902041,10.135764,-16.211285,1.96875,3.641004428,0.835195073,1734.4942,10093.51234
